Name;NotAesthetic;Aesthetic;perceivedAesthetics;perceivedChaos
147.png;0,8576441;0,14235592;6;8
148.png;0,9655156;0,034484383;1;5
149.png;0,9583856;0,041614443;1;5
15.png;0,967099;0,032901037;3;3
150.png;0,9456522;0,054347835;1;6
151.png;0,9603039;0,039696075;1;6
152.png;0,9757579;0,024242079;1;6
153.png;0,9870135;0,012986526;1;6
154.png;0,36897358;0,63102645;6;8
155.png;0,9334578;0,0665422;7;8
156.png;0,8983421;0,10165785;7;8
157.png;0,07706998;0,92293006;7;8
158.png;0,39202842;0,60797155;7;8
159.png;0,74092853;0,25907153;7;8
16.png;0,9808925;0,01910756;4;3
160.png;0,9542134;0,045786638;3;3
161.png;0,9619319;0,038068116;3;5
162.png;0,9239045;0,07609556;1;1
163.png;0,9729134;0,027086651;2;3
164.png;0,32008266;0,67991734;7;7
165.png;0,9393914;0,06060867;2;5
166.png;0,9239045;0,07609556;1;1
167.png;0,95476586;0,045234185;5;4
168.png;0,098556064;0,9014439;7;8
169.png;0,9542134;0,045786638;5;2
17.png;0,9117361;0,08826392;2;3
170.png;0,95019615;0,049803846;1;3
171.png;0,97177154;0,028228408;3;3
172.png;0,9287833;0,07121673;8;8
173.png;0,93773764;0,062262326;3;3
174.png;0,9239045;0,07609556;1;1
175.png;0,9607717;0,039228275;2;4
176.png;0,07636334;0,9236367;7;8
177.png;0,959682;0,040318005;1;6
178.png;0,95022887;0,049771138;1;1
179.png;0,9540682;0,045931898;1;3
18.png;0,91786796;0,08213207;2;4
180.png;0,13006434;0,8699357;6;8
181.png;0,96830386;0,03169618;2;4
182.png;0,96929157;0,03070846;3;4
183.png;0,95152014;0,048479915;7;8
184.png;0,9189291;0,08107085;3;4
185.png;0,95066005;0,049339987;2;4
186.png;0,909179;0,09082107;7;8
187.png;0,95358044;0,04641959;2;6
188.png;0,95022887;0,049771138;1;1
189.png;0,9365732;0,06342679;2;3
19.png;0,981262;0,018737977;2;4
190.png;0,09027943;0,9097206;6;8
191.png;0,92846143;0,07153863;2;3
192.png;0,9500712;0,04992883;2;5
193.png;0,89627385;0,10372612;7;8
194.png;0,97036976;0,029630188;2;3
195.png;0,95286596;0,04713404;2;3
196.png;0,9515079;0,04849204;2;3
197.png;0,961575;0,038425058;2;3
198.png;0,9409534;0,05904656;2;3
199.png;0,93491393;0,065086074;3;3
2.png;0,9767446;0,023255356;2;3
20.png;0,9290305;0,07096954;2;3
200.png;0,9633461;0,036653847;1;6
201.png;0,9611979;0,038802013;2;7
202.png;0,9437875;0,05621254;2;7
203.png;0,9460157;0,053984273;2;7
204.png;0,8806128;0,11938724;3;6
205.png;0,9171067;0,082893334;2;6
206.png;0,63334715;0,36665282;5;9
207.png;0,9724036;0,027596347;6;8
208.png;0,934026;0,06597396;7;8
209.png;0,17748901;0,8225109;6;8
21.png;0,922344;0,07765602;3;4
210.png;0,33665723;0,66334283;6;8
211.png;0,6695198;0,33048025;6;8
212.png;0,9408691;0,059130907;1;6
213.png;0,949358;0,050641958;2;7
214.png;0,93785495;0,062145047;3;7
215.png;0,9188243;0,08117567;3;7
216.png;0,9697548;0,030245187;3;6
217.png;0,9751937;0,024806289;3;6
218.png;0,27551946;0,7244805;5;9
219.png;0,9390232;0,06097673;6;8
22.png;0,9767446;0,023255356;2;3
220.png;0,9353365;0,06466349;7;9
221.png;0,05294009;0,9470599;7;9
222.png;0,37667763;0,6233224;6;9
223.png;0,70826757;0,29173237;7;9
224.png;0,97036976;0,029630188;4;2
225.png;0,939062;0,060938034;3;2
226.png;0,9381928;0,06180715;3;2
227.png;0,961575;0,038425058;3;2
228.png;0,9351258;0,06487417;3;2
229.png;0,9322192;0,06778075;3;2
23.png;0,92629254;0,07370742;2;3
230.png;0,9667573;0,033242714;6;9
231.png;0,7940149;0,20598514;7;8
232.png;0,6801226;0,31987736;6;9
233.png;0,9639973;0,036002766;7;9
234.png;0,62657773;0,37342224;5;9
235.png;0,8131217;0,18687831;5;9
236.png;0,9391959;0,060804166;1;4
237.png;0,9435812;0,05641876;2;3
238.png;0,9256246;0,07437546;3;3
239.png;0,92611724;0,07388278;2;3
24.png;0,9351971;0,06480287;2;3
240.png;0,9712616;0,02873842;1;4
241.png;0,9770842;0,02291577;1;4
242.png;0,23914997;0,76085;5;9
243.png;0,92055905;0,079440966;5;9
244.png;0,8966909;0,1033091;5;9
245.png;0,050147563;0,9498524;5;9
246.png;0,34714314;0,6528568;5;9
247.png;0,70298684;0,29701322;5;9
248.png;0,9609347;0,039065275;1;5
249.png;0,9578767;0,042123288;1;5
25.png;0,9783;0,021700026;3;3
250.png;0,94030905;0,059690982;1;6
251.png;0,9619381;0,03806186;1;7
252.png;0,97402644;0,02597354;1;7
253.png;0,98524654;0,014753378;1;7
254.png;0,3821229;0,6178772;6;8
255.png;0,93981194;0,060188126;6;8
256.png;0,9325586;0,06744141;6;8
257.png;0,08128005;0,91872;6;8
258.png;0,39282927;0,60717064;8;8
259.png;0,7362867;0,2637133;8;8
26.png;0,9257673;0,07423268;3;3
260.png;0,9731094;0,02689056;7;8
261.png;0,87559277;0,12440724;7;8
262.png;0,8059705;0,19402945;6;8
263.png;0,9709671;0,029032895;6;8
264.png;0,7640472;0,2359528;6;8
265.png;0,8576441;0,14235592;5;8
266.png;0,9160188;0,08398124;7;8
267.png;0,8635152;0,13648476;7;7
268.png;0,79858893;0,20141105;7;8
269.png;0,9295945;0,07040545;7;8
27.png;0,9149636;0,0850364;3;3
270.png;0,71257573;0,28742433;7;8
271.png;0,8428142;0,15718584;5;8
272.png;0,9551073;0,0448927;3;5
273.png;0,94043905;0,059560977;4;5
274.png;0,9276121;0,072387815;3;5
275.png;0,95294696;0,047053073;2;6
276.png;0,9748872;0,02511278;2;6
277.png;0,98524654;0,014753378;2;6
278.png;0,32460925;0,6753908;7;8
279.png;0,92706275;0,07293723;7;8
28.png;0,97265786;0,027342128;3;3
280.png;0,9080107;0,09198932;7;8
281.png;0,057199705;0,9428003;7;8
282.png;0,3245828;0,6754172;7;8
283.png;0,6910715;0,30892852;7;8
284.png;0,9140537;0,08594633;7;8
285.png;0,85993314;0,14006692;7;8
286.png;0,81439364;0,18560635;7;8
287.png;0,9243704;0,075629614;6;8
288.png;0,72314924;0,2768507;5;8
289.png;0,832954;0,16704598;6;8
29.png;0,95029485;0,049705137;3;1
290.png;0,9393914;0,06060867;3;4
291.png;0,9239045;0,07609556;2;1
292.png;0,95476586;0,045234185;4;4
293.png;0,09516378;0,90483624;8;9
294.png;0,95019615;0,049803846;1;5
295.png;0,97177154;0,028228408;3;4
296.png;0,9280459;0,071954094;8;8
297.png;0,86234516;0,1376549;1;3
298.png;0,9403603;0,059639778;3;4
299.png;0,8414965;0,15850343;9;8
3.png;0,92629254;0,07370742;3;3
30.png;0,9514643;0,04853574;3;3
300.png;0,9360661;0,063933924;6;4
301.png;0,9239045;0,07609556;2;1
302.png;0,937807;0,062193003;5;4
303.png;0,06369198;0,93630797;9;8
304.png;0,85707206;0,14292802;3;4
305.png;0,94015014;0,05984982;5;5
306.png;0,80114806;0,19885197;9;8
307.png;0,9189291;0,08107085;1;2
308.png;0,95066005;0,049339987;3;4
309.png;0,91169286;0,08830718;8;8
31.png;0,96765244;0,032347556;2;3
310.png;0,90664876;0,093351215;1;3
311.png;0,93307775;0,066922195;3;4
312.png;0,8567198;0,14328016;8;8
313.png;0,9408691;0,059130907;4;6
314.png;0,949358;0,050641958;4;7
315.png;0,93785495;0,062145047;4;7
316.png;0,9188243;0,08117567;4;7
317.png;0,9697548;0,030245187;4;7
318.png;0,9751937;0,024806289;4;8
319.png;0,276873;0,723127;8;9
32.png;0,9434897;0,0565104;3;3
320.png;0,93922615;0,060773894;7;9
321.png;0,93473125;0,06526876;8;9
322.png;0,051376324;0,94862366;7;9
323.png;0,3668034;0,63319665;8;9
324.png;0,7101036;0,2898965;7;9
325.png;0,9670192;0,032980815;8;9
326.png;0,78220433;0,21779567;8;8
327.png;0,6621428;0,33785713;8;8
328.png;0,9640713;0,035928693;7;9
329.png;0,62794465;0,37205532;7;9
33.png;0,93612796;0,06387202;3;3
330.png;0,8131217;0,18687831;8;8
331.png;0,86295235;0,13704766;8;8
332.png;0,86251074;0,1374892;8;8
333.png;0,7906213;0,20937875;7;9
334.png;0,87663025;0,12336976;8;9
335.png;0,6550318;0,34496817;8;9
336.png;0,8265549;0,17344514;7;9
337.png;0,93754625;0,062453687;3;4
338.png;0,93725014;0,06274991;3;5
339.png;0,92456317;0,07543677;4;4
34.png;0,9724434;0,027556574;2;6
340.png;0,91658914;0,08341091;2;4
341.png;0,9707187;0,029281382;3;4
342.png;0,9751937;0,024806289;2;5
343.png;0,21932888;0,7806711;7;9
344.png;0,9258853;0,07411463;7;9
345.png;0,9094743;0,090525664;7;9
346.png;0,038365845;0,96163416;7;9
347.png;0,29907203;0,700928;8;9
348.png;0,6725175;0,32748246;7;9
349.png;0,86598486;0,13401513;8;8
35.png;0,9707273;0,029272735;2;4
350.png;0,84838915;0,15161085;8;9
351.png;0,759039;0,24096106;7;9
352.png;0,88195664;0,1180434;7;9
353.png;0,6543678;0,34563217;7;9
354.png;0,8089347;0,19106536;7;9
355.png;0,9182118;0,081788175;6;9
356.png;0,8661778;0,13382217;7;9
357.png;0,80667776;0,19332226;7;9
358.png;0,92954487;0,07045513;6;9
359.png;0,7262371;0,27376288;7;9
36.png;0,9489064;0,05109358;2;4
360.png;0,8509056;0,14909434;7;9
361.png;0,86907077;0,13092922;8;9
362.png;0,7891099;0,21089016;8;9
363.png;0,75672215;0,24327785;8;9
364.png;0,89382476;0,10617524;6;8
365.png;0,7041901;0,29580986;6;8
366.png;0,7904961;0,2095039;7;8
367.png;0,86234516;0,1376549;2;4
368.png;0,9403603;0,059639778;5;4
369.png;0,8435421;0,15645786;9;8
37.png;0,9681142;0,031885758;2;4
370.png;0,8560787;0,14392135;3;2
371.png;0,9300865;0,06991348;5;3
372.png;0,77537984;0,22462021;9;8
373.png;0,9469043;0,053095765;1;3
374.png;0,96898335;0,031016678;3;4
375.png;0,8275968;0,17240317;6;9
376.png;0,9469043;0,053095765;1;4
377.png;0,969003;0,030996947;3;4
378.png;0,7639244;0,23607557;8;9
38.png;0,9454987;0,054501377;2;4
39.png;0,95601106;0,0439889;2;4
4.png;0,9351971;0,06480287;2;3
40.png;0,6368271;0,36317292;7;8
41.png;0,97787434;0,022125604;8;8
42.png;0,93869895;0,061301023;8;8
43.png;0,22870307;0,771297;7;9
44.png;0,32292792;0,67707205;7;9
45.png;0,57753444;0,42246556;7;9
46.png;0,97265786;0,027342128;2;3
47.png;0,9522018;0,047798228;2;3
48.png;0,9527038;0,04729623;3;3
49.png;0,96765244;0,032347556;2;3
5.png;0,9783;0,021700026;3;3
50.png;0,9494629;0,05053714;3;3
51.png;0,94340295;0,056597035;3;3
52.png;0,9811198;0,018880133;4;3
53.png;0,9542134;0,045786638;4;3
54.png;0,9619319;0,038068116;4;3
55.png;0,9239045;0,07609556;1;1
56.png;0,9729134;0,027086651;4;4
57.png;0,31156686;0,68843305;8;9
58.png;0,9542134;0,045786638;3;3
59.png;0,967099;0,032901037;3;3
6.png;0,9257673;0,07423268;3;3
60.png;0,9735091;0,026490962;2;3
61.png;0,95022887;0,049771138;1;1
62.png;0,9668151;0,03318484;2;4
63.png;0,3244021;0,6755979;7;8
64.png;0,959682;0,040318005;1;4
65.png;0,95022887;0,049771138;1;1
66.png;0,9540682;0,045931898;2;4
67.png;0,13549365;0,86450636;7;9
68.png;0,967099;0,032901037;3;3
69.png;0,96830386;0,03169618;1;3
7.png;0,9149636;0,0850364;3;3
70.png;0,96929157;0,03070846;3;4
71.png;0,9535903;0,04640967;8;9
72.png;0,96410143;0,035898548;2;4
73.png;0,95022887;0,049771138;1;1
74.png;0,96538645;0,034613565;1;4
75.png;0,11780344;0,8821966;7;8
76.png;0,9808925;0,01910756;3;4
77.png;0,9117361;0,08826392;3;4
78.png;0,91786796;0,08213207;3;4
79.png;0,981262;0,018737977;3;4
8.png;0,9811198;0,018880133;4;3
80.png;0,9290305;0,07096954;3;3
81.png;0,922344;0,07765602;3;3
82.png;0,97036976;0,029630188;2;4
83.png;0,95286596;0,04713404;3;4
84.png;0,9515079;0,04849204;3;3
85.png;0,961575;0,038425058;2;3
86.png;0,9409534;0,05904656;3;4
87.png;0,93491393;0,065086074;3;3
88.png;0,9633461;0,036653847;2;5
89.png;0,9611979;0,038802013;1;5
9.png;0,9791374;0,02086256;3;3
90.png;0,9437875;0,05621254;2;5
91.png;0,9460157;0,053984273;2;6
92.png;0,8806128;0,11938724;1;6
93.png;0,9171067;0,082893334;1;6
94.png;0,60461485;0,3953851;6;8
95.png;0,9723041;0,027695948;7;9
96.png;0,9341632;0,0658368;7;9
97.png;0,17526951;0,8247305;6;9
98.png;0,3107087;0,6892913;7;9
99.png;0,6366873;0,36331278;8;9
